Kernel,DataType,Size,Alignment,HasTail,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs
SAXPY,float32,1027,aligned,yes,6.38e-05,6.38e-05,1,32.1944,179.9
SAXPY,float32,1024,aligned,no,6.19e-05,6.19e-05,1,33.0856,184.88
SAXPY,float32,1027,misaligned,yes,9.3975e-05,9.37e-05,1.00293,21.921,122.493
SAXPY,float32,1024,misaligned,no,9.2275e-05,9.195e-05,1.00353,22.273,124.46
SAXPY,float32,4099,aligned,yes,0.0002489,0.000248,1.00363,33.0565,184.717
SAXPY,float32,4096,aligned,no,0.0002462,0.000246625,0.998277,33.2164,185.611
SAXPY,float32,4099,misaligned,yes,0.00037012,0.00037,1.00032,22.1568,123.811
SAXPY,float32,4096,misaligned,no,0.0003679,0.000367767,1.00036,22.275,124.471
SAXPY,float32,16387,aligned,yes,0.0001525,0.00015244,1.00039,21.4996,120.138
SAXPY,float32,16384,aligned,no,0.0001522,0.0001527,0.996726,21.4591,119.912
SAXPY,float32,16387,misaligned,yes,0.000199767,0.000199825,0.999708,16.4014,91.6497
SAXPY,float32,16384,misaligned,no,0.000199633,0.000199575,1.00029,16.4189,91.7477
SAXPY,float32,65539,aligned,yes,0.00061016,0.0006097,1.00075,21.4988,120.134
SAXPY,float32,65536,aligned,no,0.00060912,0.00060945,0.999459,21.5066,120.178
SAXPY,float32,65539,misaligned,yes,0.00080084,0.0007996,1.00155,16.3929,91.6027
SAXPY,float32,65536,misaligned,no,0.00080085,0.00079865,1.00275,16.4117,91.7075
