Kernel,DataType,Size,VectorWidth,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,ArithmeticIntensity
SAXPY,float32,1024,8,6.18e-05,6.19e-05,0.998384,33.0856,184.88,0.166667
SAXPY,float32,4096,8,0.00024648,0.000246133,1.00141,33.2828,185.982,0.166667
SAXPY,float32,16384,8,0.00015326,0.0001528,1.00301,21.445,119.833,0.166667
SAXPY,float32,65536,8,0.00060986,0.000609433,1.0007,21.5072,120.181,0.166667
SAXPY,float32,262144,8,0.00430218,0.00429025,1.00278,12.2205,68.2871,0.166667
SAXPY,float64,1024,4,0.0001178,0.0001178,1,17.3854,194.297,0.0833333
SAXPY,float64,4096,4,0.000526175,0.00052628,0.9998,15.5659,173.962,0.0833333
SAXPY,float64,16384,4,0.00029128,0.0002921,0.997193,11.2181,125.372,0.0833333
SAXPY,float64,65536,4,0.000870925,0.000860175,1.0125,15.2378,170.296,0.0833333
SAXPY,float64,262144,4,0.0083517,0.00803483,1.03944,6.5252,72.9247,0.0833333
SAXPY,int32,1024,8,6.6775e-05,6.3225e-05,1.05615,32.3922,181.006,0.166667
SAXPY,int32,4096,8,0.000235967,0.00023468,1.00548,34.9071,195.059,0.166667
SAXPY,int32,16384,8,0.0001479,0.00014804,0.999054,22.1346,123.686,0.166667
SAXPY,int32,65536,8,0.0005976,0.00059442,1.00535,22.0504,123.216,0.166667
SAXPY,int32,262144,8,0.00435232,0.00429693,1.01289,12.2015,68.181,0.166667
