Kernel,DataType,Size,Stride,ScalarTime,SIMDTime,Speedup,GFLOPs,BandwidthGBs,Efficiency
SAXPY,float32,8192,1,0.00068268,0.00071288,0.957637,22.9828,128.427,1
SAXPY,float32,8192,2,0.00208022,0.0020845,0.997949,7.85992,43.9207,1
SAXPY,float32,8192,4,0.00106467,0.00106293,1.00163,15.4139,86.1322,1
SAXPY,float32,8192,8,0.00067436,0.000672575,1.00265,24.3601,136.123,1
SAXPY,float32,8192,16,0.00042798,0.00042825,0.99937,38.258,213.783,1
SAXPY,float32,32768,1,0.000304275,0.00030486,0.998081,21.4971,120.124,1
SAXPY,float32,32768,2,0.0008394,0.000839375,1.00003,7.80771,43.629,1
SAXPY,float32,32768,4,0.00045325,0.00045218,1.00237,14.4933,80.9879,1
SAXPY,float32,32768,8,0.00030506,0.00030472,1.00112,21.507,120.179,1
SAXPY,float32,32768,16,0.00021326,0.00021154,1.00813,30.9804,173.117,1
SAXPY,float32,131072,1,0.0009099,0.000906325,1.00394,28.9238,161.625,1
SAXPY,float32,131072,2,0.00234222,0.0023367,1.00236,11.2186,62.6886,1
SAXPY,float32,131072,4,0.00154053,0.00153095,1.00625,17.123,95.682,1
SAXPY,float32,131072,8,0.0011669,0.00117728,0.991183,22.2669,124.426,1
SAXPY,float32,131072,16,0.00085908,0.000850125,1.01053,30.8359,172.309,1
